Location,zone,circle,division,subdivision,roadno,road name,structure name,numberofsp,structure type,total width,total lengt,bcs category
(89.63361399999999435 22.74472199999999944),Khulna,Khulna,Bagerhat,Bagerhat-2,N7,Dauladia-Faridpur (Goalchamot)-Magura-Jhenaidah-Jessore-Khulna-Mongla (Digraj) Road,Jugikhali bridge,3,PC Girder Bridge,9.3,81.379997,C
(89.64194500000000687 22.63194500000000176),Khulna,Khulna,Bagerhat,Bagerhat-2,N7,Dauladia-Faridpur (Goalchamot)-Magura-Jhenaidah-Jessore-Khulna-Mongla (Digraj) Road,,1,RCC Girder Bridge,9.55,26.549999,B
(89.63138600000000622 22.58861200000000125),Khulna,Khulna,Bagerhat,Bagerhat-2,N7,Dauladia-Faridpur (Goalchamot)-Magura-Jhenaidah-Jessore-Khulna-Mongla (Digraj) Road,Bogra Bridge,3,RCC Girder Bridge,9.5,52.82,C
(89.6269450000000063 22.5844440000000013),Khulna,Khulna,Bagerhat,Bagerhat-2,N7,Dauladia-Faridpur (Goalchamot)-Magura-Jhenaidah-Jessore-Khulna-Mongla (Digraj) Road,Tatulia bridge,1,PC Girder Bridge,9.45,31.219999,A
(89.61416599999999733 22.57333399999999912),Khulna,Khulna,Bagerhat,Bagerhat-2,N7,Dauladia-Faridpur (Goalchamot)-Magura-Jhenaidah-Jessore-Khulna-Mongla (Digraj) Road,Balai bridge.,3,RCC Girder Bridge,9.35,56.43,C
(90.21083099999999888 23.07194499999999948),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Bourgata bridge,5,RCC Girder Bridge,8.7,55.869999,B
(90.21583599999999592 23.01527799999999857),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Souderkhal bridge,3,RCC Girder Bridge,8.73,31.1,C
(90.21514100000000269 23.01527799999999857),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Souderkhal bridge,3,RCC Girder Bridge,8.73,31.1,C
(90.22222100000000466 23.00361099999999936),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Nilkhola bridge,3,RCC Girder Bridge,8.9,31.049999,A
(90.22222100000000466 22.99722300000000175),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Lakherajkosba bridge,1,RCC Girder Bridge,8.7,26.950001,B
(90.2225040000000007 22.97500000000000142),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,gounagata  bridge,3,RCC Girder Bridge,7.2,43,B
(90.22472399999999482 22.96277800000000013),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Asokoti bridge,1,RCC Girder Bridge,7.1,27.5,C
(90.2300029999999964 22.94777900000000059),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Kasomabad bridge,1,Steel Beam & RCC Slab,7,13,B
(90.23166700000000162 22.94500000000000028),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Lalpur bridge,1,Steel Beam & RCC Slab,7,9.6999998,B
(90.25777399999999773 22.88888899999999893),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Bamrail bridge,1,RCC Girder Bridge,7.1,24.15,B
(90.26222199999999418 22.82500100000000032),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Jalil bridge,6,PC Girder Bridge,9.9,289.95001,A
(90.27999900000000366 22.80999900000000125),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Capt. Mohiuddin Jahangir bridge,8,PC Girder Bridge,10,386.94,A
(90.29972100000000523 22.79000100000000018),Barisal,Barisal,Barisal,Barisal-1,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Rahamatpur bridge,2,RCC Girder Bridge,7,32.299999,A
(90.35555300000000045 22.68416600000000116),Barisal,Barisal,Barisal,Barisal-2,N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,Sagardi bridge,1,RCC Girder Bridge,9.35,12.2,B
